"Postnr","Bynavn","KommuneID","Kommune","Region","Formidlingsaftaledato","Salgsdato","EjTypeNr","EjdType","Boligtilstand","Udbudspris","Kontantpris","Grundvaerdi","Vurderingsaar","EjdVurdering","Foraeldrekoeb","MaeglersVaerdiansaettelse","Boligareal","Kaelderareal","Grundareal","Opfoerelsesaar","Ombygningsaar","AntalPlan","NytKokken","NytTag","Tilbygning","AntalToiletter","Vaskemaskine","NyeVinduer","NytBadevaerelse","AfstandTilCity","BebyggetAreal","AntalSovevaerelser","AfstandDagligvarer","AfstandSkole","AfstandOffentligTransport","Elevator","Gaardmiljoe","Altan","TaetVedVand","Toilet","Bad","Energimaerke","Ydervaegge","GarageCarport","Studiebolig","HvilkenEtage","FuldAdresse","id","xkoor","ykoor","long","lat"
8200,"Aarhus N",851,"Aalborg","Nordjylland","21-07-2004","10-08-2004",5,"Ejerlejlighed","Middel",1549000,1549000,93500,2003,990000,NA,NA,69,0,0,1909,NA,1,NA,NA,NA,1,"Nej",NA,NA,NA,61,NA,"50","300","50","Nej","Nej","Ja","Nej",NA,NA,NA,NA,0,NA,"2.","Tordenskjoldsgade 96, 2.",NA,575575,6226086,10.14675218,56.21898053
9260,"Gistrup",851,"Aalborg","Nordjylland","24-02-2016","04-04-2016",17,"Villa, 1 fam.","God",1695000,1655000,556200,2013,1550000,NA,1695000,127,0,830,1963,1976,1,NA,0,1976,0,NA,NA,NA,"0",127,"0","1000","2000","0","0","0","0",NA,NA,NA,"D","Mursten (tegl, kalksten, cementsten)",19,NA,NA,"Aladdinvej 8",NA,559668.81,6318814.29,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","18-02-2016","19-05-2016",17,"Villa, 1 fam.","God",1595000,1595000,166000,2013,1050000,NA,1595000,170,100,1092,1938,NA,3,NA,0,0,0,NA,NA,NA,"0",100,"0","2500","2500","50","0","0","0",NA,NA,NA,"D","Mursten (tegl, kalksten, cementsten)",30,NA,NA,"Hadsund Landevej 457",NA,561286.33,6314427.17,9.9986688,56.99717985
9260,"Gistrup",851,"Aalborg","Nordjylland","29-02-2016","11-03-2016",17,"Villa, 1 fam.","God",2795000,2795000,501900,2013,2100000,NA,2695000,177,0,916,1978,1999,1,NA,0,1999,2,NA,NA,NA,"11000",177,"5","2000","1500","300","0","0","0",NA,NA,NA,"C","Mursten (tegl, kalksten, cementsten)",29,NA,NA,"Splinten 3",NA,559926.52,6317368.48,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","03-11-2015","12-11-2015",17,"Villa, 1 fam.","God",1945000,1945000,469500,2013,1150000,NA,1995000,92,12,805,1962,NA,2,NA,0,0,0,NA,NA,NA,"0",110,"0","0","0","0","0","0","0",NA,NA,NA,"C","Mursten",0,NA,NA,"Ørnehøjvej 1",NA,560537.24,6317004.88,9.99751117,56.99689431
9260,"Gistrup",851,"Aalborg","Nordjylland","11-05-2016","27-05-2016",17,"Villa, 1 fam.","God",2295000,2375000,68400,2013,1200000,NA,2295000,167,0,2351,1900,1992,2,NA,0,1992,0,NA,NA,NA,"8000",167,"0","1500","1500","300","0","0","0",NA,NA,NA,"D","Mursten (tegl, kalksten, cementsten)",0,NA,NA,"Vissevej 175",NA,557097.71,6315701.72,9.99751117,56.99689431
9260,"Gistrup",851,"Aalborg","Nordjylland","25-08-2015","16-09-2015",17,"Villa, 1 fam.","God",1695000,1650000,235900,2013,970000,NA,1695000,143,0,712,1966,1979,1,NA,0,1979,2,NA,NA,NA,"10700",143,"4","3700","600","600","0","0","0",NA,NA,NA,"D","Mursten",49,NA,NA,"Diamantvej 5",NA,558434.24,6315087.59,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","01-11-2015","30-05-2016",17,"Villa, 1 fam.","God",2695000,2410000,364700,2015,1500000,NA,2695000,146,0,447,1980,NA,1,NA,0,0,2,NA,NA,NA,"10000",146,"4","2000","2000","500","0","0","0",NA,NA,NA,"C","Mursten",31,NA,NA,"Stammen 140",NA,559553.61,6317400.9,10.00073092,56.99559844
9260,"Gistrup",851,"Aalborg","Nordjylland","29-07-2015","11-08-2015",15,"Helaarsgrund",NA,1100000,1100000,620900,2014,620900,NA,1100000,NA,NA,733,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 31",NA,559225.85,6318849.23,9.98610915,57.00096809
9260,"Gistrup",851,"Aalborg","Nordjylland","25-08-2015","02-12-2015",17,"Villa, 1 fam.","God",1245000,1200000,221900,2013,1050000,NA,1245000,171,0,1179,1979,NA,2,NA,0,0,0,NA,NA,NA,"16000",96,"0","7300","2500","400","0","0","0",NA,NA,NA,"D","Mursten",30,NA,NA,"Gunderupvej 20",NA,561301.48,6311141.01,9.98582553,57.00070781
9260,"Gistrup",851,"Aalborg","Nordjylland","28-05-2015","26-08-2015",17,"Villa, 1 fam.","God",3500000,3350000,514600,2013,2450000,NA,3500000,194,0,708,1999,2008,2,NA,0,2008,0,NA,NA,NA,"7500",112,"0","2400","3100","650","0","0","0",NA,NA,NA,"C","PVC",34,NA,NA,"Sdr Tranders Parken 7",NA,559483.69,6318691.23,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","04-06-2015","02-09-2015",17,"Villa, 1 fam.","God",3045000,2910000,566900,2013,2350000,NA,3045000,146,0,861,2009,NA,1,NA,0,0,0,NA,NA,NA,"7100",189,"0","2200","2900","350","0","0","0",NA,NA,NA,"B","Mursten",30,NA,NA,"Sønder Tranders Vej 149",NA,559424.06,6318788.43,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","28-04-2015","22-06-2015",12,"Fritidshus","God",598000,550000,89800,2013,300000,NA,598000,52,0,3025,1968,NA,1,NA,0,0,0,NA,NA,NA,"10000",52,"0","2000","1500","1500","0","0","0",NA,NA,NA,NA,"Traebeklaedning",18,NA,NA,"Gistrup Hedevej 53",NA,560304.4,6316036.52,9.98610915,57.00096809
9260,"Gistrup",851,"Aalborg","Nordjylland","11-05-2015","13-11-2015",17,"Villa, 1 fam.","God",2695000,2475000,507500,2013,1950000,NA,2500000,172,0,687,1998,NA,2,NA,0,0,0,NA,NA,NA,"0",103,"0","1200","2000","100","0","0","0",NA,NA,NA,"B","Mursten",30,NA,NA,"Sønder Tranders Vej 153A",NA,559439.42,6318825.44,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","18-10-2014","28-11-2014",15,"Helaarsgrund",NA,995000,1100000,1100000,2013,1100000,NA,1100000,NA,NA,747,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 81",NA,559112.9,6318639.95,9.9995217,56.99634022
9260,"Gistrup",851,"Aalborg","Nordjylland","25-05-2010","21-06-2010",17,"Villa, 1 fam.","God",2498000,2415000,489900,2009,2300000,NA,NA,155,0,833,1987,NA,1,NA,NA,0,2,NA,NA,NA,"10000",185,NA,"600","700","300",NA,NA,NA,NA,"2 vandskyllende toiletter","2 badevaerelser",NA,"Mursten (tegl, kalksandsten, cementsten)",0,NA,NA,"Kronen 42",NA,559787.9,6317705.85,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","18-03-2013","06-04-2013",17,"Villa, 1 fam.","God",2445000,2380000,601800,2011,2000000,NA,2445000,141,0,1206,1986,NA,1,NA,0,0,1,NA,NA,NA,"10000",141,"3","1200","1200","800","0","0","0",NA,NA,NA,"C","Mursten (tegl, kalksten, cementsten)",43,NA,NA,"Kronen 5",NA,559958.83,6317561.77,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","29-04-2014","01-08-2014",15,"Helaarsgrund",NA,995000,995000,995000,2013,995000,NA,995000,NA,NA,717,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 75",NA,559116.04,6318681.64,9.9995217,56.99634022
9260,"Gistrup",851,"Aalborg","Nordjylland","29-04-2014","04-07-2014",15,"Helaarsgrund",NA,995000,995000,500000,2012,500000,NA,995000,NA,NA,747,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 81",NA,559112.9,6318639.95,9.9995217,56.99634022
9260,"Gistrup",851,"Aalborg","Nordjylland","29-04-2014","27-05-2014",15,"Helaarsgrund",NA,995000,995000,500000,2011,500000,NA,995000,NA,NA,779,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 77",NA,559138.73,6318684.55,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","27-07-2010","06-01-2011",17,"Villa, 1 fam.","God",1598000,1375000,552000,2009,1550000,NA,NA,107,0,1040,1979,NA,1,NA,NA,0,1,NA,NA,NA,"8000",107,NA,"600","800","250",NA,NA,NA,NA,"1 vandskyllende toilet","1 badevaerelse",NA,"Mursten (tegl, kalksandsten, cementsten)",0,NA,NA,"Barken 23",NA,559897.91,6316725.49,9.99977069,56.99751056
